Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
31,"J Paris, JS Donnal, SB Leeb",NilmDB: The non-intrusive load monitor database,75,2014, ieeexplore.ieee.org, IEEE Transactions on Smart Grid,"… store the vast quantities of data generated by a typical non-intrusive load monitoring system, 
which can easily exceed samples per monitored system, per year, equivalent to terabytes of …",https://ieeexplore.ieee.org/abstract/document/6847241/,https://emsg.mit.edu/wp-content/uploads/2016/07/47_NilmDB-The-Nonintrusive-Load-Monitor-Database.pdf,6
37,"Y Himeur, A Alsalemi, F Bensaali…","Recent trends of smart nonintrusive load monitoring in buildings: A review, open challenges, and future directions",75,2022, Wiley Online Library, … Journal of Intelligent …,"… objective is through adopting “intrusive load monitoring (ILM),” … into play, namely, “nonintrusive 
load monitoring (NILM),” … , in which Hart has monitored specific appliances' loads via a …",https://onlinelibrary.wiley.com/doi/abs/10.1002/int.22876,https://www.researchgate.net/profile/Yassine-Himeur/publication/359418336_Recent_trends_of_smart_nonintrusive_load_monitoring_in_buildings_A_review_open_challenges_and_future_directions/links/62ee38980b37cc3447757d47/Recent-trends-of-smart-nonintrusive-load-monitoring-in-buildings-A-review-open-challenges-and-future-directions.pdf,19
88,"S Dash, NC Sahoo",Electric energy disaggregation via non-intrusive load monitoring: A state-of-the-art systematic review,74,2022, Elsevier, Electric Power Systems Research,"… The search resulted in about 2000 articles with the keywords like Non-Intrusive load 
monitoring, Nonintrusive Appliance Load Monitoring, NILM, NALM, Energy Disaggregator, or …",https://www.sciencedirect.com/science/article/pii/S0378779622007398,No PDF link,18
20,"DC Bergman, D Jin, JP Juen, N Tanaka, CA Gunter…",Distributed non-intrusive load monitoring,71,2011, ieeexplore.ieee.org, ISGT …,"… readings are used to identify loads generated by specific appliances, provides a practical 
strategy for load shed verification in residences. Nonintrusive load shed verification (NLSV) …",https://ieeexplore.ieee.org/abstract/document/5759180/,http://seclab.illinois.edu/wp-content/uploads/2011/04/BergmanJJTGW11.pdf,5
71,"C Dinesh, S Welikala, Y Liyanage, MPB Ekanayake…",Non-intrusive load monitoring under residential solar power influx,70,2017, Elsevier, Applied energy,"This paper proposes a novel Non-Intrusive Load Monitoring (NILM) method for a consumer 
premises with a residentially installed solar plant. This method simultaneously identifies the …",https://www.sciencedirect.com/science/article/pii/S0306261917311157,https://www.sciencedirect.com/science/article/am/pii/S0306261917311157,8
63,"J Zhang, X Chen, WWY Ng, CS Lai…",New appliance detection for nonintrusive load monitoring,69,2019, ieeexplore.ieee.org, IEEE Transactions on …,"… Load monitoring helps to understand the energy consumption of … load monitoring, that is, 
intrusive load monitoring (ILM) and … [16] JM Gillis and WG Morsi, “Non-intrusive load monitoring …",https://ieeexplore.ieee.org/abstract/document/8712434/,https://eprints.whiterose.ac.uk/150270/5/sympletic%20database%20version.pdf,10
89,"Y Himeur, A Alsalemi, F Bensaali, A Amira",Effective non-intrusive load monitoring of buildings based on a novel multi-descriptor fusion with dimensionality reduction,68,2020, Elsevier, Applied Energy,"… Accordingly, non-intrusive load monitoring has been investigated in various academic and 
… aggregated load. This paper presents an efficient non-intrusive load monitoring framework …",https://www.sciencedirect.com/science/article/pii/S0306261920313416,https://www.sciencedirect.com/science/article/pii/S0306261920313416,11
100,"S Henriet, U Şimşekli, B Fuentes, G Richard",A generative model for non-intrusive load monitoring in commercial buildings,67,2018, Elsevier, Energy and Buildings,"… Whilst having similarities with the Non Intrusive Load Monitoring (NILM) tasks for residential 
buildings, the nature of the signals that are collected from large commercial buildings …",https://www.sciencedirect.com/science/article/pii/S0378778818305644,https://arxiv.org/pdf/1803.00515,8
52,"D Egarter, A Sobe, W Elmenreich",Evolving non-intrusive load monitoring,63,2013, Springer,5  2013 …,"… Non-intrusive load monitoring (NILM) identifies used appliances in a total power load 
according to their individual load characteristics. In this paper we propose an evolutionary …",https://link.springer.com/chapter/10.1007/978-3-642-37192-9_19,https://www.academia.edu/download/30984044/egarter-2013-Evolving_Non-Intrusive_Load_Monitoring.pdf,5
74,"K He, D Jakovetic, B Zhao, V Stankovic…",A generic optimisation-based approach for improving non-intrusive load monitoring,62,2019, ieeexplore.ieee.org, … on Smart Grid,"… renewed interest in electrical load disaggregation, or non-intrusive load monitoring (NILM). … 
the estimated appliance contribution from the total load, and then move on to disaggregate …",https://ieeexplore.ieee.org/abstract/document/8669739/,https://strathprints.strath.ac.uk/67341/1/He_etal_IEEE_TOSG_2019_A_generic_optimisation_based_approach_for_improving_non_intrusive.pdf,9
27,"S Welikala, N Thelasingha, M Akram, PB Ekanayake…",Implementation of a robust real-time non-intrusive load monitoring solution,59,2019, Elsevier, Applied energy,"This paper presents the formulation and practical implementation of a spectral decomposition 
based, Real-Time Non-Intrusive Load Monitoring (RT-NILM) solution. Many of the NILM …",https://www.sciencedirect.com/science/article/pii/S0306261919301849,https://www.sciencedirect.com/science/article/am/pii/S0306261919301849,8
94,"B Buddhahai, W Wongseree, P Rakkwamsuk",A non-intrusive load monitoring system using multi-label classification approach,55,2018, Elsevier, Sustainable cities and …,"This paper proposes an experimental design process for the application of energy disaggregation 
using multi-label classification. The classification approach has recently shown to be a …",https://www.sciencedirect.com/science/article/pii/S2210670717315366,No PDF link,7
86,"X Shi, H Ming, S Shakkottai, L Xie, J Yao",Nonintrusive load monitoring in residential households with low-resolution data,50,2019, Elsevier, Applied Energy,"… Nonintrusive load monitoring (NILM) aims to estimate the device-level energy consumption 
from the load … Because the majority of households can only provide load data at a normal …",https://www.sciencedirect.com/science/article/pii/S0306261919309407,No PDF link,7
12,"I Abubakar, SN Khalid, MW Mustafa…",An overview of non-intrusive load monitoring methodologies,47,2015, ieeexplore.ieee.org, … IEEE conference on …,"… and other activities of the load. The load monitoring in which multiple sensors measure the 
power consumption of each appliance is known as the intrusive load monitoring. This process …",https://ieeexplore.ieee.org/abstract/document/7409513/,https://www.academia.edu/download/55298264/C_An-overview_of_non-intrusive_load_monitoring_methodologies.pdf,4
43,"DPB Renaux, F Pottker, HC Ancelmo, AE Lazzaretti…",A dataset for non-intrusive load monitoring: Design and implementation,47,2020, mdpi.com, Energies,"A NILM dataset is a valuable tool in the development of Non-Intrusive Load Monitoring 
techniques, as it provides a means of evaluation of novel techniques and algorithms, as well as …",https://www.mdpi.com/1996-1073/13/20/5371,https://www.mdpi.com/1996-1073/13/20/5371/pdf,8
99,"H Hwang, S Kang",Nonintrusive load monitoring using an LSTM with feedback structure,44,2022, ieeexplore.ieee.org, IEEE Transactions on Instrumentation and …,"… Cardenas, “Non-intrusive load monitoring through home energy management systems: A … 
Hua, “Non-intrusive load monitoring algorithm based on features of VI trajectory,” Electr. …",https://ieeexplore.ieee.org/abstract/document/9761881/,No PDF link,11
84,"T Todic, V Stankovic, L Stankovic",An active learning framework for the low-frequency non-intrusive load monitoring problem,42,2023, Elsevier, Applied Energy,"With the widespread deployment of smart meters worldwide, quantification of energy used 
by individual appliances via Non-Intrusive Load Monitoring (NILM), ie, virtual submetering, is …",https://www.sciencedirect.com/science/article/pii/S0306261923004427,https://www.sciencedirect.com/science/article/pii/S0306261923004427,14
56,"G Bucci, F Ciancetta, E Fiorucci, S Mari…",State of art overview of Non-Intrusive Load Monitoring applications in smart grids,37,2021, Elsevier, Measurement …,"… Nowadays, non-intrusive load monitoring (NILM) systems represent an effective alternative 
to monitoring individual appliances' consumption, avoiding the costs and spatial constraints …",https://www.sciencedirect.com/science/article/pii/S2665917421001082,https://www.sciencedirect.com/science/article/pii/S2665917421001082,7
75,"JS Kang, M Yu, L Lu, B Wang, Z Bao",Adaptive non-intrusive load monitoring based on feature fusion,36,2022, ieeexplore.ieee.org, IEEE Sensors Journal,"… However, most of the load monitoring methods regard this task as a multi-classification … 
loads that did not participate in training. In this paper, an adaptive non-intrusive load monitoring …",https://ieeexplore.ieee.org/abstract/document/9724173/,No PDF link,9
55,"A Meier, D Cautley",Practical limits to the use of non-intrusive load monitoring in commercial buildings,33,2021, Elsevier, Energy and Buildings,"… Non-intrusive load monitoring (NILM) is the application of … end loads operating during 
each interval. The promise of NILM to deliver detailed end-use data at low cost and non-intrusively …",https://www.sciencedirect.com/science/article/pii/S0378778821005922,https://www.sciencedirect.com/science/article/am/pii/S0378778821005922,7
